revision,time,url
649a36f3d,2025-06-30 09:20:01 -0400,https://github.com/apache/datafusion/commit/649a36f3d
ebf49b4fe,2025-06-29 08:25:34 -0400,https://github.com/apache/datafusion/commit/ebf49b4fe
1c0dcad2d,2025-06-28 19:42:24 -0400,https://github.com/apache/datafusion/commit/1c0dcad2d
d66d6b9eb,2025-06-28 09:47:46 -0400,https://github.com/apache/datafusion/commit/d66d6b9eb
9f3cc7b85,2025-06-28 00:17:55 -0500,https://github.com/apache/datafusion/commit/9f3cc7b85
8d772e5f8,2025-06-27 14:56:14 -0700,https://github.com/apache/datafusion/commit/8d772e5f8
1de4d0e2e,2025-06-27 17:16:38 -0400,https://github.com/apache/datafusion/commit/1de4d0e2e
8d34abb16,2025-06-27 16:59:50 -0400,https://github.com/apache/datafusion/commit/8d34abb16
2999e41b6,2025-06-27 16:59:32 -0400,https://github.com/apache/datafusion/commit/2999e41b6
cce3f3f3b,2025-06-27 16:59:20 -0400,https://github.com/apache/datafusion/commit/cce3f3f3b
b4ba1c6ea,2025-06-27 15:42:21 -0500,https://github.com/apache/datafusion/commit/b4ba1c6ea
18841752d,2025-06-27 11:56:29 -0700,https://github.com/apache/datafusion/commit/18841752d
d73f0e87d,2025-06-27 11:54:39 -0700,https://github.com/apache/datafusion/commit/d73f0e87d
586a88c15,2025-06-27 10:43:15 -0500,https://github.com/apache/datafusion/commit/586a88c15
3839736c7,2025-06-27 11:31:07 -0400,https://github.com/apache/datafusion/commit/3839736c7
fffcd1f76,2025-06-27 11:10:43 -0400,https://github.com/apache/datafusion/commit/fffcd1f76
9c6d6ee00,2025-06-27 06:49:59 -0700,https://github.com/apache/datafusion/commit/9c6d6ee00
0c30f13c8,2025-06-27 18:46:58 +0800,https://github.com/apache/datafusion/commit/0c30f13c8
0143b20de,2025-06-26 10:40:10 -0700,https://github.com/apache/datafusion/commit/0143b20de
3649dc80c,2025-06-26 11:39:49 -0400,https://github.com/apache/datafusion/commit/3649dc80c
b4053801b,2025-06-26 11:25:40 -0400,https://github.com/apache/datafusion/commit/b4053801b
0e486277e,2025-06-26 09:02:44 -0500,https://github.com/apache/datafusion/commit/0e486277e
db13dd935,2025-06-26 15:45:57 +0800,https://github.com/apache/datafusion/commit/db13dd935
fcb193b94,2025-06-25 16:07:37 -0400,https://github.com/apache/datafusion/commit/fcb193b94
1b3640008,2025-06-25 16:07:07 -0400,https://github.com/apache/datafusion/commit/1b3640008
4a4ffd739,2025-06-25 12:52:37 -0700,https://github.com/apache/datafusion/commit/4a4ffd739
6f2747fcb,2025-06-25 15:33:48 -0400,https://github.com/apache/datafusion/commit/6f2747fcb
dd2de91bf,2025-06-25 15:33:30 -0400,https://github.com/apache/datafusion/commit/dd2de91bf
e063a8d95,2025-06-25 15:29:36 -0400,https://github.com/apache/datafusion/commit/e063a8d95
a87d6f21c,2025-06-25 08:09:29 -0700,https://github.com/apache/datafusion/commit/a87d6f21c
dd55e3554,2025-06-25 08:09:03 -0700,https://github.com/apache/datafusion/commit/dd55e3554
20a723b7b,2025-06-25 00:51:44 -0700,https://github.com/apache/datafusion/commit/20a723b7b
7d3bf52d2,2025-06-25 09:53:36 +0800,https://github.com/apache/datafusion/commit/7d3bf52d2
969ed5e10,2025-06-25 09:51:04 +0800,https://github.com/apache/datafusion/commit/969ed5e10
334d449ff,2025-06-24 15:24:07 -0700,https://github.com/apache/datafusion/commit/334d449ff
678c25db6,2025-06-24 15:20:44 -0700,https://github.com/apache/datafusion/commit/678c25db6
63a10ba08,2025-06-24 15:19:39 -0700,https://github.com/apache/datafusion/commit/63a10ba08
5400d7160,2025-06-24 15:40:09 -0400,https://github.com/apache/datafusion/commit/5400d7160
59143c144,2025-06-24 07:22:03 -0700,https://github.com/apache/datafusion/commit/59143c144
921f4a028,2025-06-24 05:58:39 -0400,https://github.com/apache/datafusion/commit/921f4a028
ec92ed349,2025-06-24 05:54:35 -0400,https://github.com/apache/datafusion/commit/ec92ed349
c4d2cd720,2025-06-23 18:38:34 -0700,https://github.com/apache/datafusion/commit/c4d2cd720
15a8738d0,2025-06-23 18:36:21 -0700,https://github.com/apache/datafusion/commit/15a8738d0
1bfd888cf,2025-06-24 09:34:59 +0800,https://github.com/apache/datafusion/commit/1bfd888cf
a862f7adb,2025-06-23 17:30:29 -0400,https://github.com/apache/datafusion/commit/a862f7adb
d6e8b07ae,2025-06-23 13:49:03 -0700,https://github.com/apache/datafusion/commit/d6e8b07ae
26e27b0b4,2025-06-23 13:48:36 -0700,https://github.com/apache/datafusion/commit/26e27b0b4
c37b85133,2025-06-23 16:25:37 -0400,https://github.com/apache/datafusion/commit/c37b85133
9556bcdfb,2025-06-23 15:46:52 -0400,https://github.com/apache/datafusion/commit/9556bcdfb
cdaaef79e,2025-06-23 15:02:27 -0400,https://github.com/apache/datafusion/commit/cdaaef79e
b6c8cc577,2025-06-23 07:19:03 -0500,https://github.com/apache/datafusion/commit/b6c8cc577
2f1063eda,2025-06-23 20:08:42 +0800,https://github.com/apache/datafusion/commit/2f1063eda
78433a792,2025-06-23 12:36:27 +0200,https://github.com/apache/datafusion/commit/78433a792
fb01049d7,2025-06-23 06:03:40 -0400,https://github.com/apache/datafusion/commit/fb01049d7
2bf8441c8,2025-06-22 08:58:49 -0400,https://github.com/apache/datafusion/commit/2bf8441c8
e737d3f95,2025-06-22 07:44:38 -0500,https://github.com/apache/datafusion/commit/e737d3f95
85eebcd25,2025-06-21 07:41:12 -0400,https://github.com/apache/datafusion/commit/85eebcd25
7cecc1827,2025-06-21 07:41:02 -0400,https://github.com/apache/datafusion/commit/7cecc1827
a4f4b17f0,2025-06-20 15:42:36 -0400,https://github.com/apache/datafusion/commit/a4f4b17f0
8b03e5e00,2025-06-20 12:43:45 -0400,https://github.com/apache/datafusion/commit/8b03e5e00
79146242b,2025-06-20 11:00:02 -0400,https://github.com/apache/datafusion/commit/79146242b
a0eaf5107,2025-06-20 09:58:32 -0400,https://github.com/apache/datafusion/commit/a0eaf5107
5443c67a2,2025-06-20 08:17:35 -0500,https://github.com/apache/datafusion/commit/5443c67a2
d8ee8d894,2025-06-20 13:47:12 +0200,https://github.com/apache/datafusion/commit/d8ee8d894
aa1e6dac7,2025-06-20 15:47:24 +0800,https://github.com/apache/datafusion/commit/aa1e6dac7
3c4e39ac0,2025-06-20 15:27:31 +0800,https://github.com/apache/datafusion/commit/3c4e39ac0
5ca4ff029,2025-06-19 17:40:07 -0500,https://github.com/apache/datafusion/commit/5ca4ff029
2d7ae0926,2025-06-19 19:09:42 +0100,https://github.com/apache/datafusion/commit/2d7ae0926
43ba6f2d0,2025-06-19 12:51:44 -0500,https://github.com/apache/datafusion/commit/43ba6f2d0
266daf8b3,2025-06-19 11:17:56 -0400,https://github.com/apache/datafusion/commit/266daf8b3
e6df27c3b,2025-06-19 18:15:55 +0800,https://github.com/apache/datafusion/commit/e6df27c3b
7e0f6230a,2025-06-19 18:09:42 +0800,https://github.com/apache/datafusion/commit/7e0f6230a
4084894eb,2025-06-18 17:10:19 -0400,https://github.com/apache/datafusion/commit/4084894eb
4c3b8474c,2025-06-18 17:09:48 -0400,https://github.com/apache/datafusion/commit/4c3b8474c
5ebc49dc1,2025-06-18 09:06:29 -0700,https://github.com/apache/datafusion/commit/5ebc49dc1
9083fc8bd,2025-06-18 09:06:01 -0700,https://github.com/apache/datafusion/commit/9083fc8bd
accd2255f,2025-06-18 20:40:45 +0800,https://github.com/apache/datafusion/commit/accd2255f
20de40f73,2025-06-18 20:27:56 +0800,https://github.com/apache/datafusion/commit/20de40f73
630aa7b0c,2025-06-18 16:34:23 +0800,https://github.com/apache/datafusion/commit/630aa7b0c
056f5462b,2025-06-17 18:53:13 -0400,https://github.com/apache/datafusion/commit/056f5462b
11fc52d31,2025-06-17 18:52:27 -0400,https://github.com/apache/datafusion/commit/11fc52d31
87218a1e6,2025-06-17 18:52:09 -0400,https://github.com/apache/datafusion/commit/87218a1e6
1429c9247,2025-06-17 13:37:44 -0500,https://github.com/apache/datafusion/commit/1429c9247
0c3bb78e2,2025-06-17 12:03:49 -0400,https://github.com/apache/datafusion/commit/0c3bb78e2
2c5b9e811,2025-06-17 08:54:21 -0700,https://github.com/apache/datafusion/commit/2c5b9e811
aa359c5d3,2025-06-17 08:54:01 -0700,https://github.com/apache/datafusion/commit/aa359c5d3
d4033eecf,2025-06-17 12:37:25 +0100,https://github.com/apache/datafusion/commit/d4033eecf
06631c253,2025-06-17 12:38:37 +0800,https://github.com/apache/datafusion/commit/06631c253
324a27198,2025-06-16 14:20:01 -0700,https://github.com/apache/datafusion/commit/324a27198
24f1bb541,2025-06-16 14:18:51 -0700,https://github.com/apache/datafusion/commit/24f1bb541
ad0c21f76,2025-06-16 17:05:42 -0400,https://github.com/apache/datafusion/commit/ad0c21f76
7d16764ec,2025-06-16 17:04:12 -0400,https://github.com/apache/datafusion/commit/7d16764ec
dd936cb1b,2025-06-16 20:01:11 +0800,https://github.com/apache/datafusion/commit/dd936cb1b
